# title: Table 392.22(A)(5) Allowable Cable Fill Area for Multiconductor Cables
#   in Ventilated Channel Cable Trays for Cables Rated 2000 Volts or Less
# edition: 2026
# header_rows: 4
Inside Width of Cable Tray,,Maximum Allowable Fill Area for Multiconductor Cables,,,
,,Column 1 One Cable,,Column 2 More Than One Cable,
mm,in.,mm²,in.²,mm²,in.²
inside_width_mm,inside_width_in,column_1_mm2,column_1_in2,column_2_mm2,column_2_in2
50,2,850,1.3,500,0.8
75,3,1500,2.3,850,1.3
100,4,2900,4.5,1600,2.5
150,6,4500,7.0,2450,3.8
